genotypes	doi	status	trial	blumeria_graminis	heading_date	lodging	plant_height	puccinia_hordei	pyrenophora_teres	ramularia_collo_cygni	rhynchosporium
HOR 17572	10.25642/IPK/GBIS/229511	PGR	winter	3.216419892	134.5827086	2.589895923	116.2453591	5.52739809	1.500004639	3.579921635	1.653131708
HOR 17591	10.25642/IPK/GBIS/240240	PGR	spring	3.772246592	72.41193951	4.856869571	98.53764568	4.941104162	1.705803452	3.537439326	1.34098313
HOR 17599	10.25642/IPK/GBIS/245969	PGR	winter	3.254023818	147.2995825	3.220548623	123.2389691	2.868919948	1.50000569	3.236319367	0.937511517
HOR 17601	10.25642/IPK/GBIS/230565	PGR	spring	3.050776096	76.13441076	2.846266292	102.287211	3.102552644	1.524995239	2.909600554	1.306815206
HOR 17618	10.25642/IPK/GBIS/245575	PGR	winter	2.875059855	143.2762998	3.693989962	122.7038643	4.730945872	1.499998879	2.642613298	1.584627849
HOR 17640	10.25642/IPK/GBIS/231189	PGR	winter	3.202230973	136.3281237	4.823767638	119.0875068	5.173872249	2.999997195	4.354321111	1.150956381
HOR 17649	10.25642/IPK/GBIS/234688	PGR	winter	3.522500023	135.3488419	7.120885983	113.0776477	3.658997027	1.499999044	5.614259509	4.957387446
HOR 17654	10.25642/IPK/GBIS/253694	PGR	spring	5.534791148	66.32248551	4.712003608	85.88911154	5.041372359	1.721641043	5.764115368	1.659224765
HOR 17678	10.25642/IPK/GBIS/240693	PGR	winter	4.317768397	136.5309641	2.21593201	109.0012811	7.236860124	1.500000689	1.945137839	1.231744074
HOR 17690	10.25642/IPK/GBIS/224418	PGR	spring	4.451547648	71.65864155	3.362131662	110.5770655	4.978419346	1.388430116	1.936129039	1.349505539
HOR 17730	10.25642/IPK/GBIS/240806	PGR	winter	3.880151944	140.0179642	4.15241155	116.8389657	4.299447722	1.499993537	4.225988032	2.286671477
HOR 1777	10.25642/IPK/GBIS/17916	PGR	spring	3.997291665	71.0872356	7.622874823	85.00402025	5.419200692	1.402770406	3.405083485	1.34599483
HOR 17772	10.25642/IPK/GBIS/226435	PGR	winter	3.980199533	138.2297729	2.228217887	118.8033249	5.426322312	1.499996208	2.925201645	0.937511531
HOR 17794	10.25642/IPK/GBIS/240726	PGR	winter	4.304798499	137.3292465	2.517946235	122.9353699	5.950832849	1.500000981	3.101281019	1.221806126
HOR 17874	10.25642/IPK/GBIS/229657	PGR	winter	3.449398715	135.7116789	3.353558237	105.9639661	5.213057779	1.499997993	5.535770599	1.022149651
HOR 1791	10.25642/IPK/GBIS/17930	PGR	spring	3.32836914	67.98054011	4.497894012	94.12568464	3.410690058	3.082879558	3.428346769	1.345987229
HOR 18062	10.25642/IPK/GBIS/245596	PGR	winter	4.42140744	142.2021781	4.067579367	121.1614896	4.865274488	1.500000436	2.788529878	1.658185947
HOR 1807	10.25642/IPK/GBIS/17946	PGR	spring	4.478395922	68.45763256	4.399029059	85.6865942	5.160131284	2.416256494	4.25820283	1.345964928
HOR 18070	10.25642/IPK/GBIS/245307	PGR	winter	3.680221	131.2541635	2.555535004	125.4899128	4.867723082	1.500002702	3.667776838	1.648247976
HOR 18076	10.25642/IPK/GBIS/240790	PGR	winter	3.736067207	136.1333373	4.043781643	112.9204173	5.143924962	1.499997563	4.24250557	1.037759191
HOR 18087	10.25642/IPK/GBIS/234545	PGR	winter	4.233890202	144.9484596	2.841172485	136.4899649	3.968176135	2.000003247	3.543947456	1.511069661
HOR 18096	10.25642/IPK/GBIS/240707	PGR	winter	5.645865214	141.1257137	1.714144661	126.2951438	4.066935446	1.499999158	1.943472971	1.234068626
HOR 18160	10.25642/IPK/GBIS/234563	PGR	spring	4.754708489	68.74370561	4.357475075	101.2763783	3.671626843	1.752788595	4.891236629	1.342828272
HOR 18168	10.25642/IPK/GBIS/226245	PGR	spring	1.70233291	73.661783	4.084908202	100.9214867	4.468252791	1.71983337	3.40126358	1.300292809
HOR 18201	10.25642/IPK/GBIS/246738	PGR	spring	4.137604427	72.47748564	2.931079574	98.96481792	4.900481838	1.391020329	2.48877912	1.345164609
HOR 18220	10.25642/IPK/GBIS/231377	PGR	spring	4.392161166	69.17359096	5.118345116	76.44910994	5.903498933	1.779900448	2.744944513	1.345240852
HOR 18227	10.25642/IPK/GBIS/254624	PGR	spring	1.955866093	70.52540696	5.227534284	96.74038545	4.518984673	2.069899746	3.994317308	1.307943939
HOR 18249	10.25642/IPK/GBIS/239725	PGR	spring	4.722269459	69.57811645	4.760308786	91.76990655	5.295476952	1.647437159	2.024380657	1.309751459
HOR 18300	10.25642/IPK/GBIS/246374	PGR	spring	2.734304778	74.06753412	4.961383238	96.15003032	3.433155592	1.397314295	2.734240062	1.273468868
HOR 18364	10.25642/IPK/GBIS/246396	PGR	spring	2.949331181	76.08233525	2.987004774	106.7884072	3.558267531	1.755109849	3.459146427	1.370487668
